instance_id,max_num,average_num,1705395600,1705399200,1705402800,1705406400,1705410000,1705413600,1705417200,1705420800,1705424400,1705428000,1705431600,1705435200,1705438800,1705442400,1705446000,1705449600,1705453200,1705456800,1705460400,1705464000,1705467600,1705471200,1705474800,1705478400,1705482000,1705485600,1705489200,1705492800,1705496400,1705500000,1705503600,1705507200
ins-k7v4dbuq,0.73,0.12,0.733,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.166,0.1,0.1,0.1,0.1,0.1,0.1,0.116,0.1,0.1,0.1,0.1,0.1,0.1,0.083
ins-b3lec24m,4.25,0.38,4.25,0.383,0.25,0.233,0.233,0.233,0.25,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.216,0.233,0.233,0.533,0.533,0.233,0.233,0.233,0.233,0.266,0.25,0.216,0.216,0.233,0.216,0.233,0.233,0.233
