InstanceId,InstanceName,InstanceType,CPU,Memory,Placement,PrivateIpAddresses,VirtualPrivateCloud,SecurityGroupIds,OsName,SystemDisk,DataDisks
ins-k7v4dbuq,四维轨迹挖掘-PROD11,SA3.8XLARGE128,32,128,"{'Zone': 'ap-guangzhou-6', 'ProjectId': 1239905, 'HostIds': None, 'HostId': None}",['172.16.32.41'],"{'VpcId': 'vpc-jwg2y0tn', 'SubnetId': 'subnet-gfhwoi2m', 'AsVpcGateway': False, 'PrivateIpAddresses': None, 'Ipv6AddressCount': None}",['sg-526ozwlj'],CentOS 7.9 64位,"{'DiskType': 'CLOUD_PREMIUM', 'DiskId': 'disk-2eblspla', 'DiskSize': 50, 'CdcId': None}","[{'DiskSize': 2048, 'DiskType': 'CLOUD_PREMIUM', 'DiskId': 'disk-0j0azhgo', 'DeleteWithInstance': True, 'SnapshotId': None, 'Encrypt': False, 'KmsKeyId': None, 'ThroughputPerformance': 0, 'CdcId': None, 'BurstPerformance': None}]"
ins-b3lec24m,四维轨迹挖掘-PROD12,SA3.2XLARGE32,8,32,"{'Zone': 'ap-guangzhou-6', 'ProjectId': 1239905, 'HostIds': None, 'HostId': None}",['172.16.32.25'],"{'VpcId': 'vpc-jwg2y0tn', 'SubnetId': 'subnet-gfhwoi2m', 'AsVpcGateway': False, 'PrivateIpAddresses': None, 'Ipv6AddressCount': None}",['sg-526ozwlj'],CentOS 7.9 64位,"{'DiskType': 'CLOUD_PREMIUM', 'DiskId': 'disk-1dlucm5e', 'DiskSize': 50, 'CdcId': None}","[{'DiskSize': 1000, 'DiskType': 'CLOUD_PREMIUM', 'DiskId': 'disk-jh13qaz2', 'DeleteWithInstance': True, 'SnapshotId': None, 'Encrypt': False, 'KmsKeyId': None, 'ThroughputPerformance': 0, 'CdcId': None, 'BurstPerformance': None}]"
